stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\game\project\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   1.47052] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47053] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47054] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47058] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47059] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47060] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47061] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47062] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47063] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47065] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47066] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47067] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47068] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47069] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47070] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47071] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47072] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47074] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47075] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47076] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47077] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47078] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47079] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47080] Single Buffer requirement not met.
